policy,survivors,backlog,rate,need_s,grace_s,drain_ms,lost,completed
static30,3,80,8,10.0,30,10099,0,true
static30,3,80,8,10.0,30,10086,0,true
static30,3,80,8,10.0,30,10083,0,true
static300,3,80,8,10.0,300,10090,0,true
static300,3,80,8,10.0,300,10089,0,true
static300,3,80,8,10.0,300,10095,0,true
prestop_sleep,3,80,8,10.0,30,10090,0,true
prestop_sleep,3,80,8,10.0,30,10089,0,true
prestop_sleep,3,80,8,10.0,30,10090,0,true
m3,3,80,8,10.0,16,10089,0,true
m3,3,80,8,10.0,16,10090,0,true
m3,3,80,8,10.0,16,10086,0,true
static30,3,160,4,40.0,30,30137,40,false
static30,3,160,4,40.0,30,30135,40,false
static30,3,160,4,40.0,30,30137,40,false
static300,3,160,4,40.0,300,40168,0,true
static300,3,160,4,40.0,300,40182,0,true
static300,3,160,4,40.0,300,40185,0,true
prestop_sleep,3,160,4,40.0,30,30131,40,false
prestop_sleep,3,160,4,40.0,30,30135,40,false
prestop_sleep,3,160,4,40.0,30,30129,40,false
m3,3,160,4,40.0,46,40184,0,true
m3,3,160,4,40.0,46,40181,0,true
m3,3,160,4,40.0,46,40183,0,true
