policy,pods,backlog,rate,rep,rollout_ms,lost
static30,3,160,4,1,91229,120
static300,3,160,4,1,121008,0
prestop_sleep,3,160,4,1,91170,120
m3,3,160,4,1,121039,0
static30,3,160,4,2,91178,120
static300,3,160,4,2,120997,0
prestop_sleep,3,160,4,2,91183,120
m3,3,160,4,2,121002,0
static30,3,160,4,3,91221,120
static300,3,160,4,3,120998,0
prestop_sleep,3,160,4,3,91238,120
m3,3,160,4,3,120998,0
static30,3,160,4,4,91181,120
static300,3,160,4,4,120985,0
prestop_sleep,3,160,4,4,91227,120
m3,3,160,4,4,120999,0
static30,3,160,4,5,91221,120
static300,3,160,4,5,120999,0
prestop_sleep,3,160,4,5,91178,120
m3,3,160,4,5,121025,0
