policy,backlog,rate,rep,need_s,grace_s,drain_ms,lost,completed
static30,80,8,1,10.0,30,10085,0,true
static300,80,8,1,10.0,300,10084,0,true
prestop_sleep,80,8,1,10.0,30,10091,0,true
m3,80,8,1,10.0,16,10083,0,true
static30,160,4,1,40.0,30,30128,40,false
static300,160,4,1,40.0,300,40172,0,true
prestop_sleep,160,4,1,40.0,30,30136,40,false
m3,160,4,1,40.0,46,40173,0,true
static30,80,8,2,10.0,30,10090,0,true
static300,80,8,2,10.0,300,10088,0,true
prestop_sleep,80,8,2,10.0,30,10090,0,true
m3,80,8,2,10.0,16,10082,0,true
static30,160,4,2,40.0,30,30133,40,false
static300,160,4,2,40.0,300,40173,0,true
prestop_sleep,160,4,2,40.0,30,30135,40,false
m3,160,4,2,40.0,46,40178,0,true
static30,80,8,3,10.0,30,10085,0,true
static300,80,8,3,10.0,300,10084,0,true
prestop_sleep,80,8,3,10.0,30,10085,0,true
m3,80,8,3,10.0,16,10083,0,true
static30,160,4,3,40.0,30,30141,40,false
static300,160,4,3,40.0,300,40188,0,true
prestop_sleep,160,4,3,40.0,30,30123,40,false
m3,160,4,3,40.0,46,40169,0,true
static30,80,8,4,10.0,30,10083,0,true
static300,80,8,4,10.0,300,10085,0,true
prestop_sleep,80,8,4,10.0,30,10089,0,true
m3,80,8,4,10.0,16,10086,0,true
static30,160,4,4,40.0,30,30132,40,false
static300,160,4,4,40.0,300,40174,0,true
prestop_sleep,160,4,4,40.0,30,30127,40,false
m3,160,4,4,40.0,46,40183,0,true
static30,80,8,5,10.0,30,10088,0,true
static300,80,8,5,10.0,300,10084,0,true
prestop_sleep,80,8,5,10.0,30,10085,0,true
m3,80,8,5,10.0,16,10086,0,true
