policy,need_target,backlog,rate,grace_s,drain_ms,lost,rep
static30,10,100,10,30,10110,0,1
static30,10,100,10,30,10108,0,2
static30,10,100,10,30,10117,0,3
static300,10,100,10,300,10112,0,1
static300,10,100,10,300,10116,0,2
static300,10,100,10,300,10105,0,3
prestop_sleep,10,100,10,30,10106,0,1
prestop_sleep,10,100,10,30,10107,0,2
prestop_sleep,10,100,10,30,10115,0,3
m3,10,100,10,16,10103,0,1
m3,10,100,10,16,10103,0,2
m3,10,100,10,16,10115,0,3
static30,25,250,10,30,25294,0,1
static30,25,250,10,30,25296,0,2
static30,25,250,10,30,25294,0,3
static300,25,250,10,300,25280,0,1
static300,25,250,10,300,25269,0,2
static300,25,250,10,300,25278,0,3
prestop_sleep,25,250,10,30,25279,0,1
prestop_sleep,25,250,10,30,25269,0,2
prestop_sleep,25,250,10,30,25260,0,3
m3,25,250,10,31,25269,0,1
m3,25,250,10,31,25271,0,2
m3,25,250,10,31,25270,0,3
static30,40,400,10,30,30048,103,1
static30,40,400,10,30,30036,103,2
static30,40,400,10,30,30024,103,3
static300,40,400,10,300,40436,0,1
static300,40,400,10,300,40474,0,2
static300,40,400,10,300,40467,0,3
prestop_sleep,40,400,10,30,30032,103,1
prestop_sleep,40,400,10,30,30027,103,2
prestop_sleep,40,400,10,30,30035,103,3
m3,40,400,10,46,40463,0,1
m3,40,400,10,46,40454,0,2
m3,40,400,10,46,40443,0,3
